zenodo_id,doi,zenodo_url,title,creators,publication_date,file_count,extracted_chars
18622539,10.5281/zenodo.18622539,https://zenodo.org/records/18622539,VELUX FONDEN and Villum Fonden Action Plan,Villum Fonden,2026-02-12,1,9747
18622933,10.5281/zenodo.18622933,https://zenodo.org/records/18622933,VELUX FONDEN and Villum Fonden CoARA Action Plan,Velux Fonden,2024-11-01,1,9747
18742966,10.5281/zenodo.18742966,https://zenodo.org/records/18742966,"CoARA Action Plan - Fundació per al Foment de la Investigació Sanitària i Biomèdica de la Comunitat Valenciana (Fisabio), v.1",Fundació per al Foment de la Investigació Sanitària i Biomèdica de la Comunitat Valenciana (Fisabio),2026-02-23,3,29763
18860418,10.5281/zenodo.18860418,https://zenodo.org/records/18860418,CoARA Action Plan of the Universidad Complutense de Madrid (2025–2027),"Universidad Complutense de Madrid, CoARA Working Group",2026-03-04,1,19149
19055932,10.5281/zenodo.19055932,https://zenodo.org/records/19055932,Kempelen Institute of Intelligent Technologies CoARA action plan,Kempelen Institute of Intelligent Technologies,2026-03-16,1,19676
19070702,10.5281/zenodo.19070702,https://zenodo.org/records/19070702,Uppsala Universitys action plan for The Agreement on Reforming research Assessment,Uppsala University,2026-03-17,1,9243
19110576,10.5281/zenodo.19110576,https://zenodo.org/records/19110576,University of Pécs CoARA Action Plan,"Zsido, N. Andras; Kókay, Péter; Maljusin, Mihály; University of Pecs",2026-03-19,1,11827
19328259,10.5281/zenodo.19328259,https://zenodo.org/records/19328259,The University of Manchester - CoARA action plan (2026-31),"Rogers, Cathal; Taylor, Scott; May, Lucinda; Hynes, John; Breese, Fred",2026-03-30,1,15023
19368363,10.5281/zenodo.19368363,https://zenodo.org/records/19368363,Lund University's Action Plan for Research Assessment Reform 2025-2029,"Lund University; Eksten, Rickard; Widlund, Kristine; Bredenberg, Malin; Lindell, Lena",2026-03-26,1,20439
19399452,10.5281/zenodo.19399452,https://zenodo.org/records/19399452,University of Orléans Action Plan for the Coalition for Advancing Research Assessment (CoARA) 2026-2029,Université d'Orléans,2026-04-07,2,24137
19468692,10.5281/zenodo.19468692,https://zenodo.org/records/19468692,CoARA Action Plan_University of Namur_2025-2030,University of Namur,2026-04-08,1,23139
